# ru_root_glosses.tsv -- machine-derived, UNREVIEWED candidate layer (H347, 08-07-2026)
# Source: SanskritRussian root_glossary.jsonl (corpus_lexicon Sa->Ru alignments), commit 61ad43b4f8e294ed4d383dc4a91f3a89040afe9e 2026-07-01
# Join: exact root_slp1 match against crosswalk/roots.csv, no lemma-hop, no NFD normalization (length-preserving SLP1 both sides)
# Coverage: 666/930 roots have >=1 corpus-attested RU gloss (71.6%); 264 absent from corpus_lexicon; 53 present but low-attestation (root_freq_n < 3)
# Promotion into any reviewed artifact is a separate human-gated step -- gaps stay gaps, no LLM-invented glosses.
whitney_no	root_slp1	root_iast	gloss_ru_1	count_1	gloss_ru_2	count_2	gloss_ru_3	count_3	root_freq_n	root_n_forms	homonym_shared
123	kruD	krudh	разгневанный	138	в гневе	60	гневный	56	1003	62	0
124	kruS	kruś	взывали	4	зарыдала	4	кричали	4	214	77	0
125	krUq	krūḍ							0	0	0
126	klaT	klath							0	0	0
127	kland	kland							0	0	0
128	klam	klam	усталые	2	устал	2	опаляемые	1	23	6	0
129	klav	klav							0	0	0
130	klid	klid	окропи	2	омытый	1	влажный	1	9	4	0
131	kliS	kliś	подверглась оскорблениям	4	с сожалением	3	удрученный	2	110	29	0
132	kvaR	kvaṇ	звенящие	2	позвякиванием	1			3	2	0
133	kvaT	kvath	сваренную	1	Расплавленное	1			2	1	0
134	kzad	kṣad	отдавший	2	подавшего	1	вкушает трапезу	1	6	4	0
135	kzan	kṣan	ранен	2	раненый	2	израненные	2	27	13	0
136	kzap	kṣap	ночи	10	ночей	3	ночь	1	18	4	0
137	kzam	kṣam	простить	15	прости	8	терпеливый	6	136	34	0
138	kzar	kṣar	текут	10	потекло	6	потекли	5	111	32	0
139	kzal	kṣal							0	0	0
140	kzA	kṣā	землю	14	земля	4	Земля	3	36	4	0
141	kzi	kṣi	живет	16	уничтожь	10	гибнет	8	284	85	1
142	kzi	kṣi	живет	16	уничтожь	10	гибнет	8	284	85	1
143	kzip	kṣip	метнул	58	бросил	13	пальцев	10	623	178	0
144	kzu	kṣu	на которую чихнули	1	обчиханное	1	скота	1	7	6	0
145	kzud	kṣud	рвет	2	Бурлят	1	сотрясают	1	15	7	0
146	kzuD	kṣudh	голод	6	голодные	5	Голод	4	44	8	0
147	kzup	kṣup							0	0	0
148	kzuB	kṣubh	взволновался	4	взволновалось	2	заволновалось	2	44	22	0
149	kzRu	kṣṇu	Оттачивающий	2					2	1	0
150	kzmA	kṣmā							0	0	0
151	kzviq	kṣviḍ	бормотали	1	вопили	1			2	1	0
152	kzvid	kṣvid							0	0	0
153	kzvel	kṣvel							0	0	0
154	Kac	khac	украшенного	1					1	1	0
155	KaYj	khañj							0	0	0
156	Kad	khad							0	0	0
157	Kan	khan	вонзил	5	копаю	3	Вырой	3	60	30	0
158	Karj	kharj							0	0	0
159	Kall	khall							0	0	0
160	KA	khā							0	0	0
161	KAd	khād	грызет	3	пожирают	3	едят	3	39	24	0
162	Kid	khid	вырывает	2	сдавил	2	вдавил	1	26	15	0
163	Kud	khud	вталкивайте	1					1	1	0
164	Kel	khel	игры	1	играет	1			2	2	0
165	KyA	khyā	в битве	58	в сражении	41	в бою	37	1009	142	0
166	gaC	gach							0	0	0
167	gad	gad	сказал	14	расскажу	10	сказала	7	115	23	0
168	gaD	gadh	трепещет	2	обхватят	2			4	2	0
169	gaB	gabh							0	0	0
170	gam	gam	пришел	196	отправился	177	ушел	141	7116	678	0
171	garj	garj	шумишь	4	громко крича	2	стали кричать	2	70	30	0
172	gard	gard							0	0	0
173	garh	garh	порицать	5	порицается	3	порицаешь	3	100	37	0
174	gal	gal	утратившая	2	сломанные	1	распустились	1	37	13	0
175	galB	galbh							0	0	0
176	gA	gā	пришел	18	пришли	11	поет	11	504	133	1
177	gA	gā	пришел	18	пришли	11	поет	11	504	133	1
178	gAh	gāh	ныряет	9	погрузившись	5	проник	4	120	45	0
179	gir	gir							0	0	0
180	gu	gu							0	0	0
181	guYj	guñj	гудели	1					1	1	0
182	guRW	guṇṭh							0	0	0
183	gup	gup	охраняемый	12	охраняется	6	охранять	5	146	30	0
184	guP	guph							0	0	0
185	gur	gur	воспевание	2	прими	2	превознося	1	16	11	0
186	gulP	gulph							0	0	0
187	guh	guh	скрытый	11	тайно	8	скрыто	6	106	35	0
188	gUrd	gūrd							0	0	0
189	gUrD	gūrdh							0	0	0
190	gf	gṛ	воспевают	21	воспеваем	13	воспеваю	12	266	52	1
191	gf	gṛ	воспевают	21	воспеваем	13	воспеваю	12	266	52	1
192	gf	gṛ	воспевают	21	воспеваем	13	воспеваю	12	266	52	1
193	gfD	gṛdh	охочим становится	3	домогаются	2	коршунов	1	32	16	0
194	gE	gai							0	0	0
195	graT	grath							0	0	0
196	graB	grabh							0	0	0
197	gras	gras	поглотил	5	поглощает	4	поглощаешь	4	119	36	0
198	glap	glap							0	0	0
199	glah	glah	делая ставки	1	занятых военной игрой	1	занятых игрой	1	5	4	0
200	glA	glā	несчастных	1	устала	1	слабеет	1	6	5	0
201	Gaw	ghaṭ	нет	3	старающегося	2	стремится	2	31	12	0
202	Gaww	ghaṭṭ							0	0	0
203	Gar	ghar							0	0	0
204	Gas	ghas	глаз	5	вкусили	4	глазу	2	25	7	0
205	Guw	ghuṭ							0	0	0
206	Guz	ghuṣ	оглашаемую	3	оглашаемая	2	прислушиваясь	1	26	16	0
207	GUrR	ghūrṇ	реяли	1	волнуемыми	1	впадать в нерешительность	1	21	18	0
208	Gf	ghṛ	кроплю	2	швыряет	2			4	2	0
209	Gfz	ghṛṣ	терся	1	вытолкали	1	ободраны	1	6	5	0
210	GrA	ghrā	обоняя	13	обоняет	12	поцеловал	6	135	44	0
211	cak	cak	находишь удовольствие	1	Спокойный	1	дрожит от страха	1	5	2	0
212	cakAs	cakās	ехавшего	1	блестит	1			2	2	0
213	cakz	cakṣ	расскажи	60	говорят	22	поведай	21	478	86	0
214	caYc	cañc	сверкающий	2	отрясаемая	1	трепещет	1	4	2	0
215	caw	caṭ	лез	1					1	1	0
216	cat	cat	Чатака	1	скрывающегося	1	убежавшему	1	3	3	0
217	can	can	другие	4	и другие	2	даже	2	12	6	0
218	cand	cand	покорного	1	воли	1	где	1	3	2	0
219	cam	cam	очистившись прихлебыванием воды	4	очищает рот	3	ополоснув рот	3	30	10	0
220	car	car	движется	40	бродит	29	движутся	27	1930	313	0
221	carc	carc							0	0	0
222	carv	carv	Посыпание порошком	1					1	1	0
223	cal	cal	последовал	16	задрожала	9	последовали	8	205	58	0
224	cAy	cāy	почтил	3	тень	3	тени	3	24	8	0
225	ci	ci	решив	11	поразмыслив	10	осыпал	8	468	133	1
226	ci	ci	решив	11	поразмыслив	10	осыпал	8	468	133	1
227	cit	cit	даже	49	и	15	Даже	11	389	47	0
228	cint	cint							0	0	0
229	cud	cud	направь	2	спросил	1	понуждала	1	19	10	0
230	cup	cup	движется	3					3	1	0
231	cumb	cumb	целует	8	целовал	3	поцеловал	2	21	9	0
232	cur	cur							0	0	0
233	culump	culump							0	0	0
234	cUz	cūṣ	облизываешься	1	лакать	1	сосать	1	3	1	0
235	cft	cṛt	разними	3	развязываем	2	связывание	2	21	13	0
236	cezw	ceṣṭ	действует	8	поступает	4	шевелящимся	2	85	35	0
237	cyu	cyu	отпадают	7	падают	4	гибнут	3	183	42	0
238	cyut	cyut							0	0	0
239	Cad	chad	тайно	15	покрытый	5	покрыто	4	105	28	0
240	Cand	chand	кажется	2	показался	2	предложил	1	12	9	0
241	CA	chā							0	0	0
242	Cid	chid	рассек	145	рассекши	32	отсек	22	716	89	0
243	Cuw	chuṭ							0	0	0
244	Cur	chur							0	0	0
245	Cfd	chṛd							0	0	0
246	jakz	jakṣ	съев	3	смеясь	3	поев	2	21	6	1
247	jakz	jakṣ	съев	3	смеясь	3	поев	2	21	6	1
248	jaG	jagh							0	0	0
249	jan	jan	родился	232	рождается	151	родились	70	2133	191	0
250	jap	jap	знатоков гимнов	4	произносит	4	повторять	4	77	23	0
251	jam	jam							0	0	0
252	jamB	jambh							0	0	0
253	jar	jar							0	0	0
254	jalp	jalp	говорил	4	говорили	4	говорят	2	48	31	0
255	jas	jas	истощите	1	Истощите	1	томящегося	1	5	4	0
256	jah	jah							0	0	0
257	jA	jā							0	0	0
258	ji	ji	Санджая	232	победив	96	победить	83	1818	207	1
259	ji	ji	Санджая	232	победив	96	победить	83	1818	207	1
260	jIv	jīv	живет	60	жить	52	жив	47	660	93	0
261	jur	jur							0	0	0
262	juz	juṣ	наслаждайся	22	Наслаждайся	18	наслаждаясь	15	311	64	0
263	jU	jū	преследует	2	торопим	2	вдохновляют	2	22	13	0
264	jUrv	jūrv	спалите	3	спалишь	2	уничтожить	2	13	7	0
265	jf	jṛ	стареет	7	старую	5	старой	5	147	41	1
266	jf	jṛ	стареет	7	старую	5	старой	5	147	41	1
267	jfmB	jṛmbh	отряхнулся	2	зевает	2	оскаливает пасть	2	33	18	0
268	jeh	jeh	изнывая	2	зияющий	1	храпящую	1	5	4	0
269	jYA	jñā	зная	107	узнав	95	знает	89	3304	371	0
270	jyA	jyā	вредит	25	тетиву	24	тетива	7	103	15	0
271	jyut	jyut							0	0	0
272	jri	jri	охват	1	бросается	1			2	2	0
273	jvar	jvar	мучить себя	2	печалится	1	тревожить	1	6	3	0
274	jval	jval	пылающий	19	сверкающий	16	воспылал	13	306	62	0
275	Jaw	jhaṭ							0	0	0
276	JaR	jhaṇ							0	0	0
277	Jar	jhar							0	0	0
278	waNk	ṭaṅk							0	0	0
279	wal	ṭal							0	0	0
280	wIk	ṭīk							0	0	0
281	wup	ṭup							0	0	0
282	qam	ḍam							0	0	0
283	qamb	ḍamb							0	0	0
284	qI	ḍī	вспорхнула	1	поднимайтесь и улетайте	1	поднялись и полетели	1	4	2	0
285	qval	ḍval							0	0	0
286	QOk	ḍhauk							0	0	0
287	taMs	taṃs	ослабь	1	тащили	1	выступили	1	4	2	0
288	tak	tak	кинулся	1	метнувшийся	1			2	2	0
289	takz	takṣ	вытесали	23	плотник	8	выточил	8	113	44	0
290	taYc	tañc	взметнувшись	1	выпустил	1	устремляется	1	3	2	0
291	taw	taṭ							0	0	0
292	taq	taḍ							0	0	0
293	tan	tan	протянулся	12	протянутую	8	протянул	6	408	119	1
294	tan	tan	протянулся	12	протянутую	8	протянул	6	408	119	1
295	tand	tand	слабеет	1	измучить	1			2	2	0
296	tap	tap	греет	13	предался	11	воспламенился	10	672	143	0
297	tam	tam	лишается дыхания	2	утомить	2	всепроникающего	2	23	16	0
298	tark	tark	следует поразмыслить	3	представляешь	1	знакомый с философией	1	5	3	0
299	tarj	tarj	оскорбляемая (угрожаемая)	1	угрожают	1			2	1	0
300	tas	tas	вокруг	21	со всех сторон	11	приблизилось	5	102	7	0
301	tA	tā							0	0	0
302	tAy	tāy							0	0	0
303	tAv	tāv	Указывает	2	преследует (?)	2			4	1	0
304	ti	ti							0	0	0
305	tij	tij	заостряет	1					1	1	0
306	tim	tim	покое	1					1	1	0
307	tir	tir							0	0	0
308	til	til							0	0	0
309	tu	tu	же	851	но	230	а	98	1509	7	0
310	tuc	tuc							0	0	0
311	tuj	tuj	Туджи	3	Выталкивая	2	выбивают	2	50	20	0
312	tud	tud	уязвляемый	3	наталкивающий	2	вырвала	2	70	37	0
313	tur	tur	преодолеем	4	одолеть	3	состязаниях	1	22	7	0
314	turv	turv							0	0	0
315	tul	tul							0	0	0
316	tuS	tuś	получил	1	успокаиваешь	1	сочишься	1	7	3	0
317	tuz	tuṣ	доволен	40	довольный	27	удовлетворенный	13	258	48	0
318	tUrv	tūrv	спасаете	1	поддерживаете	1	превосходящий	1	8	6	0
319	tf	tṛ	сойдя	21	сошел	18	переправившись	11	504	139	0
320	tfd	tṛd	пробуравил	6	пробита	3	просверлил	3	43	21	0
321	tfp	tṛp	насытиться	13	удовлетворяется	11	насыщается	8	136	33	0
322	tfz	tṛṣ	мучимый жаждой	4	мучился жаждой	3	жаждущего	2	26	14	0
323	tfh	tṛh	убил	1	раздавил	1	сокрушил	1	4	4	0
324	tyaj	tyaj	оставив	85	покинув	53	отбросив	28	1008	101	0
325	trap	trap	стыдишься	5	испытывали стыда	1	отвращает лик	1	9	7	0
326	tras	tras	перепуганные	6	испуганный	5	устрашенные	4	133	33	0
327	trA	trā	спасти	23	спасает	12	спаси	11	166	37	0
328	truw	truṭ	рваться	1	разобрать	1	Трута	1	3	2	0
329	tvakz	tvakṣ	способностью действовать	1					1	1	0
330	tvaNg	tvaṅg							0	0	0
331	tvac	tvac							0	0	0
332	tvar	tvar	поспешно	106	быстро	94	стремительно	33	440	32	0
333	tviz	tviṣ	вспышки	4	блеск	3	вспышкой	2	28	12	0
334	tsar	tsar	украдкой	2	Подкрадываются	1	подкралась	1	9	7	0
335	daMS	daṃś	десятью	14	десять	11	укусил	4	91	24	0
336	daMs	daṃs	чудесными силами	3	чудесными деяниями	2	чудесная сила	1	10	2	0
337	dakz	dakṣ	в силе	2	набираясь сил	2			4	2	0
338	daG	dagh	лишай	2	потерпит ущерба	1	минует	1	7	4	0
339	dad	dad	дали	3	дал	3	отдали	2	47	3	0
340	daD	dadh							0	0	0
341	dan	dan	водой	8	в доме	3	дома	2	31	10	0
342	daB	dabh	обмануть	4	обманут	3	напакостил	3	32	14	0
343	dam	dam	смиренный	6	слоновой кости	5	обуздан	5	78	13	0
344	day	day	раздает	6	Убил	2	Дарите сострадание	2	46	15	0
345	daridrA	daridrā							0	0	0
346	dal	dal	пряди волос	1	разрывает	1	разрывается	1	7	4	0
347	das	das	иссякают	4	отбросив	3	истощаются	2	31	13	0
348	dah	dah	сжигает	45	сжечь	27	сожжет	26	582	137	0
349	dA	dā	взяв	169	взял	72	дает	66	2647	321	1
350	dA	dā	взяв	169	взял	72	дает	66	2647	321	1
351	dA	dā	взяв	169	взял	72	дает	66	2647	321	1
352	dA	dā	взяв	169	взял	72	дает	66	2647	321	1
353	dAS	dāś	почитателя	25	почитающему	25	почитает	17	189	27	0
354	dAs	dās	угрожает	6	враждует	4	хотят напасть	3	25	7	0
355	div	div	неба	495	небо	346	на небе	133	1643	33	0
356	diS	diś	стороны света	139	стороны	138	страны света	96	1498	172	0
357	dih	dih	воплощенный	21	воплощенного	18	Воплощенный	7	205	21	0
358	dI	dī	Летай	1	летай	1	вы летаете	1	14	10	1
359	dI	dī	Летай	1	летай	1	вы летаете	1	14	10	1
360	dIkz	dīkṣ	видя	7	посвященный	6	смотреть	5	95	29	0
361	dIDI	dīdhī							0	0	0
362	dIp	dīp	пылающий	31	сверкающий	12	сияет	11	370	53	0
363	dIv	dīv	сыграю	14	сыграем	6	играть	6	58	30	1
364	dIv	dīv	сыграю	14	сыграем	6	играть	6	58	30	1
365	du	du	знают	7	терзает	3	тревожно	2	51	22	0
366	duD	dudh	буйные	2	бурного	1			3	2	0
367	dul	dul							0	0	0
368	duz	duṣ	развращаются	11	развращенных	4	злой	3	95	24	0
369	duh	duh	доится	38	доят	22	доятся	17	272	62	0
370	dU	dū							0	0	0
371	df	dṛ	разрывается	10	разорвалось	5	проломитель	2	129	52	1
372	df	dṛ	разрывается	10	разорвалось	5	проломитель	2	129	52	1
373	dfp	dṛp	гордый	5	надменный	3	надменного	2	30	5	0
374	dfB	dṛbh	Дарбхин	2	связаны	1			3	2	0
375	dfS	dṛś	увидев	605	увидел	352	видя	345	5245	207	0
376	dfh	dṛh	укрепил	2	укрепи ты	2	будь тверд	2	16	8	0
377	dev	dev							0	0	0
378	dyu	dyu							0	0	0
379	dyut	dyut	молнии	53	молния	52	молнией	12	202	31	0
380	dram	dram							0	0	0
381	drA	drā	Пусть бегут прочь	3	пусть сгинет	2	бросится бежать	1	6	3	1
382	drA	drā	Пусть бегут прочь	3	пусть сгинет	2	бросится бежать	1	6	3	1
383	drAq	drāḍ							0	0	0
384	dru	dru	ринулся	104	ринулись	51	разбежались	37	924	173	0
385	druh	druh	обмана	9	порчи	5	вредителя	3	65	17	0
386	drU	drū	бегун	2					2	1	0
388	dviz	dviṣ	ненавидит	115	ненавидим	64	врагов	53	564	59	0
389	Dan	dhan	поднятая	2	Поднимающая дыбом	2	учила бегать	1	25	8	0
390	Danv	dhanv	лучников	14	лучник	10	помчались	7	91	9	0
391	Dam	dham	затрубили	26	рассеял	12	обитель	6	182	47	0
392	Dav	dhav	сбегаетесь	1	Сбегают	1	устремились	1	3	3	0
393	DA	dhā	вера	71	верой	66	исчез	35	3607	574	1
394	DA	dhā	вера	71	верой	66	исчез	35	3607	574	1
395	DAv	dhāv	ринулся	22	устремились	14	ринулись	14	348	110	1
396	DAv	dhāv	ринулся	22	устремились	14	ринулись	14	348	110	1
397	Di	dhi							0	0	0
398	DI	dhī	молитвы	39	молитвой	25	поэтические мысли	25	531	71	0
399	Dukz	dhukṣ	последовательно возбуждаясь	1					1	1	0
400	DU	dhū	дышло	5	потрясая	5	сотрясатели	4	232	100	0
401	DUrv	dhūrv	вредящего	2	повредят	2	порешат	1	5	3	0
402	Df	dhṛ	наделенный	11	поднимет	8	поддержал	6	407	97	0
403	Dfz	dhṛṣ	дерзко	8	смело	4	Дерзко	3	77	27	0
404	DmA	dhmā							0	0	0
405	DyA	dhyā	сумерки	21	поразмыслив	11	размышляя	8	272	54	0
406	Draj	dhraj	Спешащего	2	мчащегося	1	мчась	1	5	3	0
407	DvaMs	dhvaṃs	гибнет	2	мчатся	2	разрушены	2	55	23	0
408	Dvan	dhvan	загрохотал	2	жужжит	1	намек	1	5	4	0
409	Dvf	dhvṛ	чтобы сражать	1	навредили	1			2	2	0
410	naMS	naṃś							0	0	0
411	nakz	nakṣ	достигли	3	достигнет	3	берущие	2	37	18	0
412	naw	naṭ							0	0	0
413	nad	nad	издал	33	испустил	12	издавая	11	348	56	0
414	nand	nand	радуется	9	приветствовал	9	приветствовали	7	178	56	0
415	naB	nabh	Пусть лопнут	16	пусть лопнут	11	лопнут	9	38	3	0
416	nam	nam	склоняется	7	склоняются	6	склонившись	4	185	75	0
417	nard	nard	крики	3	ревущего	3	реветь	2	53	24	0
418	naS	naś	погибнут	23	погибнет	23	погибли	21	575	106	1
419	naS	naś	погибнут	23	погибнет	23	погибли	21	575	106	1
420	nas	nas	соединяются	2	ласкают	2	рылом	1	13	7	0
421	nah	nah	связано	6	облаченный в доспехи	4	связали	2	120	48	0
422	nAT	nāth	нуждаясь в помощи	6	умоляя	3	надеялся	1	15	4	0
423	niMs	niṃs	целуют	3	приветствуют	2	Целуя	1	7	2	0
424	nikz	nikṣ	Пробуравь	1	пробуравливают	1	пронзить	1	4	3	0
425	nij	nij	смою	2	Омойте	2	промыл	1	11	6	0
426	nind	nind	попрекает	7	порицая	5	порицаемое	4	103	40	0
427	nI	nī	приведи	37	привел	30	ведут	24	1254	319	0
428	nIq	nīḍ							0	0	0
429	nu	nu	же	143	сейчас	31	вот	11	290	9	1
430	nu	nu	же	143	сейчас	31	вот	11	290	9	1
431	nud	nud	оттолкни	7	отталкивает	5	оттолкните	5	140	61	0
432	nf	nṛ							0	0	0
433	nft	nṛt	плясали	13	танцует	9	пляшут	8	114	44	0
434	ned	ned	производят сильный шум	1	издает сильный шум	1	издают сильный шум	1	5	3	0
435	pac	pac	перевариваю	10	варят	9	варит	7	129	43	0
436	paj	paj							0	0	0
437	paw	paṭ							0	0	0
438	paW	paṭh	читает	4	читающий	2	читать	2	32	14	0
439	paR	paṇ	поставим на кон	1	Поставь	1	играл	1	6	4	0
440	pat	pat	упал	124	падали	80	упала	57	1783	319	1
441	pat	pat	упал	124	падали	80	упала	57	1783	319	1
442	paT	path	дорогой	1					1	1	0
443	pad	pad	достигает	31	возникает	27	ногами	22	2058	310	0
444	pan	pan	славимся	2	поклонники	1	Да будет восхваляем	1	6	5	0
445	pard	pard							0	0	0
446	paS	paś	вижу	232	увидел	157	смотри	51	1754	126	1
447	paS	paś	вижу	232	увидел	157	смотри	51	1754	126	1
448	pA	pā	Защищайте	92	пей	76	Пей	50	1264	155	1
449	pA	pā	Защищайте	92	пей	76	Пей	50	1264	155	1
